 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1100,3465,24.30,16,388.8,-4.07,10.5
1104,3468,24.3,16,388.8,-4.05,10.4
1108,3449,23.78,16,380.5,-4.02,10.6
1112,3421,23.25,16,372.0,-3.96,10.7
1116,3410,22.64,16,362.2,-3.90,10.8
1120,3395,22.07,16,353.1,-3.87,11.0
1124,3374,21.46,16,343.4,-3.82,11.1
1128,3356,20.98,16,335.7,-3.80,11.3
1132,3323,20.44,16,327.0,-3.75,11.5
1136,3307,19.9,16,318.4,-3.71,11.7
1140,3282,19.32,16,309.1,-3.66,11.8
1144,3248,18.74,16,299.8,-3.59,12.0
1148,3223,18.11,16,289.8,-3.52,12.1
1152,3207,17.53,16,280.5,-3.45,12.3
1156,3177,17,16,272.0,-3.40,12.5
1160,3153,16.45,16,263.2,-3.31,12.6
1164,3111,15.96,16,255.4,-3.25,12.7
1168,3086,15.48,16,247.7,-3.20,12.9
1172,3061,14.98,16,239.7,-3.11,13.0
1176,3050,14.43,16,230.9,-3.04,13.2
1180,3003,14.04,16,224.6,-2.99,13.3
1184,2988,13.55,16,216.8,-2.94,13.6
1188,2952,13.1,16,209.6,-2.86,13.7
1192,2918,12.74,16,203.8,-2.82,13.8
1196,2896,12.3,16,196.8,-2.77,14.1
1200,2865,11.93,16,190.9,-2.71,14.2
1204,2845,11.59,16,185.4,-2.66,14.3
1208,2821,11.2,16,179.2,-2.58,14.4
1212,2792,10.8,16,172.8,-2.55,14.8
1216,2759,10.5,16,168.0,-2.51,14.9
1220,2736,10.27,16,164.3,-2.45,14.9
1224,2712,9.9,16,158.4,-2.38,15.0
1228,2681,9.5,16,152.0,-2.35,15.5
1232,2661,9.2,16,147.2,-2.28,15.5
1236,2629,8.9,16,142.4,-2.24,15.7
1240,2599,8.6,16,137.6,-2.20,16.0
1244,2576,8.2,16,131.2,-2.12,16.1
1248,2548,7.9,16,126.4,-2.08,16.5
1252,2517,7.57,16,121.1,-2.02,16.7
1256,2482,7.19,16,115.0,-1.98,17.2
1260,2440,6.89,16,110.2,-1.94,17.6
1264,2419,6.53,16,104.5,-1.86,17.8
1268,2369,6.29,16,100.6,-1.81,18.0
1272,2345,6,16,96.0,-1.76,18.4
1276,2306,5.75,16,92.0,-1.70,18.5
1280,2278,5.5,16,88.0,-1.67,19.0
1284,2248,5.3,16,84.8,-1.61,19.0
1288,2222,5,16,80.0,-1.56,19.4
1292,2199,4.8,16,76.8,-1.51,19.7
1296,2157,4.6,16,73.6,-1.49,20.2
1300,2140,4.4,16,70.4,-1.44,20.4
1304,2106,4.2,16,67.2,-1.40,20.8
1308,2081,3.98,16,63.7,-1.35,21.2
1312,2040,3.7,16,59.2,-1.30,22.0
1316,2001,3.58,16,57.3,-1.26,21.9
1320,1968,3.39,16,54.2,-1.20,22.2
1324,1936,3.2,16,51.2,-1.16,22.7
1328,1903,3,16,48.0,-1.12,23.3
1332,1870,2.84,16,45.4,-1.10,24.3
1336,1840,2.7,16,43.2,-1.05,24.4
1340,1807,2.4,16,38.4,-1.02,26.6
1344,1773,2.3,16,36.8,-0.98,26.6
1348,1738,2.1,16,33.6,-0.94,28.1
1352,1705,2,16,32.0,-0.90,28.2
1356,1667,1.9,16,30.4,-0.87,28.6
1360,1630,1.7,16,27.2,-0.82,30.2
1364,1589,1.6,16,25.6,-0.78,30.7
1368,1554,1.5,16,24.0,-0.74,31.0
1372,1519,1.4,16,22.4,-0.72,32.0
1376,1482,1.3,16,20.8,-0.68,32.7
